Arithmetics End
date = 2020-05-08, chg = 1.04%, profit = 1.04%, profitValue = 2901.27
synthetical7
date = 2020-05-06, chg = 1.57%, profit = 1.57%, profitValue = 2904.89
synthetical6
范围内无有效日期
synthetical5
范围内无有效日期
synthetical4
范围内无有效日期
synthetical3
date = 2020-05-08, chg = 1.04%, profit = 1.25%, profitValue = 3088.14
date = 2020-05-07, chg = -0.23%, profit = 0.21%, profitValue = 3056.47
date = 2020-05-06, chg = 1.57%, profit = 0.44%, profitValue = 3063.66
date = 2020-04-30, chg = 2.01%, profit = -1.11%, profitValue = 3016.40
date = 2020-04-29, chg = -0.20%, profit = -3.05%, profitValue = 2956.98
date = 2020-04-28, chg = -2.05%, profit = -2.86%, profitValue = 2962.86
date = 2020-04-27, chg = -0.69%, profit = -0.83%, profitValue = 3024.85
date = 2020-04-24, chg = -1.80%, profit = -0.14%, profitValue = 3045.83
date = 2020-04-23, chg = -0.41%, profit = 1.69%, profitValue = 3101.73
date = 2020-04-22, chg = 0.88%, profit = 2.11%, profitValue = 3114.37
date = 2020-04-21, chg = -0.49%, profit = 1.22%, profitValue = 3087.19
date = 2020-04-20, chg = 1.10%, profit = 1.71%, profitValue = 3102.41
date = 2020-04-17, chg = -0.07%, profit = 0.60%, profitValue = 3068.51
date = 2020-04-16, chg = 0.40%, profit = 0.67%, profitValue = 3070.68
date = 2020-04-15, chg = -0.64%, profit = 0.28%, profitValue = 3058.59
date = 2020-04-14, chg = 1.77%, profit = 0.92%, profitValue = 3078.14
date = 2020-04-13, chg = -0.82%, profit = -0.84%, profitValue = 3024.49
date = 2020-04-10, chg = -2.29%, profit = -0.02%, profitValue = 3049.48
date = 2020-04-09, chg = 0.86%, profit = 2.32%, profitValue = 3121.02
date = 2020-04-08, chg = 0.48%, profit = 1.45%, profitValue = 3094.47
date = 2020-04-07, chg = 3.08%, profit = 0.97%, profitValue = 3079.84
date = 2020-04-03, chg = -0.47%, profit = -2.04%, profitValue = 2987.76
date = 2020-04-02, chg = 2.05%, profit = -1.58%, profitValue = 3001.93
date = 2020-04-01, chg = -0.59%, profit = -3.56%, profitValue = 2941.52
date = 2020-03-31, chg = 0.02%, profit = -2.99%, profitValue = 2958.88
date = 2020-03-30, chg = -2.15%, profit = -3.01%, profitValue = 2958.26
date = 2020-03-27, chg = -0.34%, profit = -0.88%, profitValue = 3023.36
date = 2020-03-26, chg = -0.99%, profit = -0.54%, profitValue = 3033.67
date = 2020-03-25, chg = 2.33%, profit = 0.45%, profitValue = 3063.91
date = 2020-03-24, chg = 1.92%, profit = -1.83%, profitValue = 2994.16
date = 2020-03-23, chg = -3.75%, profit = -3.68%, profitValue = 2937.78
date = 2020-03-20, chg = 1.47%, profit = 0.07%, profitValue = 3052.29
date = 2020-03-19, chg = 0.70%, profit = -1.38%, profitValue = 3008.17
date = 2020-03-18, chg = -1.59%, profit = -2.06%, profitValue = 2987.38
date = 2020-03-17, chg = -0.30%, profit = -0.48%, profitValue = 3035.58
date = 2020-03-16, chg = -3.79%, profit = -0.17%, profitValue = 3044.84
date = 2020-03-13, chg = -1.20%, profit = 3.76%, profitValue = 3164.74
date = 2020-03-12, chg = -1.86%, profit = 5.01%, profitValue = 3203.02
date = 2020-03-11, chg = -0.82%, profit = 7.00%, profitValue = 3263.77
date = 2020-03-10, chg = 2.10%, profit = 7.89%, profitValue = 3290.85
date = 2020-03-09, chg = -3.20%, profit = 5.67%, profitValue = 3223.03
date = 2020-03-06, chg = -0.13%, profit = 9.16%, profitValue = 3329.57
date = 2020-03-05, chg = 1.89%, profit = 9.30%, profitValue = 3333.77
date = 2020-03-04, chg = 1.08%, profit = 7.27%, profitValue = 3272.00
date = 2020-03-03, chg = 1.23%, profit = 6.12%, profitValue = 3236.92
date = 2020-03-02, chg = 4.11%, profit = 4.84%, profitValue = 3197.64
date = 2020-02-28, chg = -5.27%, profit = 0.70%, profitValue = 3071.34
date = 2020-02-27, chg = 0.32%, profit = 6.30%, profitValue = 3242.30
date = 2020-02-26, chg = -1.35%, profit = 5.97%, profitValue = 3232.11
date = 2020-02-25, chg = -0.24%, profit = 7.41%, profitValue = 3276.28
date = 2020-02-24, chg = 1.23%, profit = 7.68%, profitValue = 3284.23
date = 2020-02-21, chg = 1.05%, profit = 6.37%, profitValue = 3244.30
date = 2020-02-20, chg = 1.87%, profit = 5.27%, profitValue = 3210.71
date = 2020-02-19, chg = -0.50%, profit = 3.33%, profitValue = 3151.62
date = 2020-02-18, chg = 1.74%, profit = 3.85%, profitValue = 3167.43
date = 2020-02-17, chg = 3.38%, profit = 2.07%, profitValue = 3113.26
date = 2020-02-14, chg = 0.21%, profit = -1.27%, profitValue = 3011.34
date = 2020-02-13, chg = -0.98%, profit = -1.48%, profitValue = 3005.00
date = 2020-02-12, chg = 1.61%, profit = -0.50%, profitValue = 3034.81
date = 2020-02-11, chg = -0.48%, profit = -2.08%, profitValue = 2986.78
date = 2020-02-10, chg = 1.64%, profit = -1.61%, profitValue = 3001.13
date = 2020-02-07, chg = 1.17%, profit = -3.19%, profitValue = 2952.71
date = 2020-02-06, chg = 2.60%, profit = -4.31%, profitValue = 2918.59
date = 2020-02-05, chg = 2.67%, profit = -6.74%, profitValue = 2844.62
date = 2020-02-04, chg = -0.76%, profit = -9.16%, profitValue = 2770.77
date = 2020-02-03, chg = -8.77%, profit = -8.46%, profitValue = 2792.06
date = 2020-01-23, chg = -3.40%, profit = 0.34%, profitValue = 3060.42
date = 2020-01-22, chg = 0.00%, profit = 3.86%, profitValue = 3167.98
date = 2020-01-21, chg = -1.14%, profit = 3.87%, profitValue = 3168.05
date = 2020-01-20, chg = 0.90%, profit = 5.06%, profitValue = 3204.52
date = 2020-01-17, chg = -0.38%, profit = 4.13%, profitValue = 3176.03
date = 2020-01-16, chg = -0.42%, profit = 4.53%, profitValue = 3188.23
date = 2020-01-15, chg = -0.46%, profit = 4.97%, profitValue = 3201.82
date = 2020-01-14, chg = 0.02%, profit = 5.45%, profitValue = 3216.47
date = 2020-01-13, chg = 0.98%, profit = 5.43%, profitValue = 3215.78
date = 2020-01-10, chg = -0.26%, profit = 4.40%, profitValue = 3184.46
date = 2020-01-09, chg = 1.51%, profit = 4.67%, profitValue = 3192.71
date = 2020-01-08, chg = -1.36%, profit = 3.11%, profitValue = 3145.10
date = 2020-01-07, chg = 1.34%, profit = 4.53%, profitValue = 3188.37
date = 2020-01-06, chg = 0.75%, profit = 3.15%, profitValue = 3146.24
date = 2020-01-03, chg = 0.54%, profit = 2.39%, profitValue = 3122.94
date = 2020-01-02, chg = 1.84%, profit = 1.84%, profitValue = 3106.30
synthetical2
date = 2020-05-08, chg = 1.04%, profit = 1.25%, profitValue = 3088.14
date = 2020-05-07, chg = -0.23%, profit = 0.21%, profitValue = 3056.47
date = 2020-05-06, chg = 1.57%, profit = 0.44%, profitValue = 3063.66
date = 2020-04-30, chg = 2.01%, profit = -1.11%, profitValue = 3016.40
date = 2020-04-29, chg = -0.20%, profit = -3.05%, profitValue = 2956.98
date = 2020-04-28, chg = -2.05%, profit = -2.86%, profitValue = 2962.86
date = 2020-04-27, chg = -0.69%, profit = -0.83%, profitValue = 3024.85
date = 2020-04-24, chg = -1.80%, profit = -0.14%, profitValue = 3045.83
date = 2020-04-23, chg = -0.41%, profit = 1.69%, profitValue = 3101.73
date = 2020-04-22, chg = 0.88%, profit = 2.11%, profitValue = 3114.37
date = 2020-04-21, chg = -0.49%, profit = 1.22%, profitValue = 3087.19
date = 2020-04-20, chg = 1.10%, profit = 1.71%, profitValue = 3102.41
date = 2020-04-17, chg = -0.07%, profit = 0.60%, profitValue = 3068.51
date = 2020-04-16, chg = 0.40%, profit = 0.67%, profitValue = 3070.68
date = 2020-04-15, chg = -0.64%, profit = 0.28%, profitValue = 3058.59
date = 2020-04-14, chg = 1.77%, profit = 0.92%, profitValue = 3078.14
date = 2020-04-13, chg = -0.82%, profit = -0.84%, profitValue = 3024.49
date = 2020-04-10, chg = -2.29%, profit = -0.02%, profitValue = 3049.48
date = 2020-04-09, chg = 0.86%, profit = 2.32%, profitValue = 3121.02
date = 2020-04-08, chg = 0.48%, profit = 1.45%, profitValue = 3094.47
date = 2020-04-07, chg = 3.08%, profit = 0.97%, profitValue = 3079.84
date = 2020-04-03, chg = -0.47%, profit = -2.04%, profitValue = 2987.76
date = 2020-04-02, chg = 2.05%, profit = -1.58%, profitValue = 3001.93
date = 2020-04-01, chg = -0.59%, profit = -3.56%, profitValue = 2941.52
date = 2020-03-31, chg = 0.02%, profit = -2.99%, profitValue = 2958.88
date = 2020-03-30, chg = -2.15%, profit = -3.01%, profitValue = 2958.26
date = 2020-03-27, chg = -0.34%, profit = -0.88%, profitValue = 3023.36
date = 2020-03-26, chg = -0.99%, profit = -0.54%, profitValue = 3033.67
date = 2020-03-25, chg = 2.33%, profit = 0.45%, profitValue = 3063.91
date = 2020-03-24, chg = 1.92%, profit = -1.83%, profitValue = 2994.16
date = 2020-03-23, chg = -3.75%, profit = -3.68%, profitValue = 2937.78
date = 2020-03-20, chg = 1.47%, profit = 0.07%, profitValue = 3052.29
date = 2020-03-19, chg = 0.70%, profit = -1.38%, profitValue = 3008.17
date = 2020-03-18, chg = -1.59%, profit = -2.06%, profitValue = 2987.38
date = 2020-03-17, chg = -0.30%, profit = -0.48%, profitValue = 3035.58
date = 2020-03-16, chg = -3.79%, profit = -0.17%, profitValue = 3044.84
date = 2020-03-13, chg = -1.20%, profit = 3.76%, profitValue = 3164.74
date = 2020-03-12, chg = -1.86%, profit = 5.01%, profitValue = 3203.02
date = 2020-03-11, chg = -0.82%, profit = 7.00%, profitValue = 3263.77
date = 2020-03-10, chg = 2.10%, profit = 7.89%, profitValue = 3290.85
date = 2020-03-09, chg = -3.20%, profit = 5.67%, profitValue = 3223.03
date = 2020-03-06, chg = -0.13%, profit = 9.16%, profitValue = 3329.57
date = 2020-03-05, chg = 1.89%, profit = 9.30%, profitValue = 3333.77
date = 2020-03-04, chg = 1.08%, profit = 7.27%, profitValue = 3272.00
date = 2020-03-03, chg = 1.23%, profit = 6.12%, profitValue = 3236.92
date = 2020-03-02, chg = 4.11%, profit = 4.84%, profitValue = 3197.64
date = 2020-02-28, chg = -5.27%, profit = 0.70%, profitValue = 3071.34
date = 2020-02-27, chg = 0.32%, profit = 6.30%, profitValue = 3242.30
date = 2020-02-26, chg = -1.35%, profit = 5.97%, profitValue = 3232.11
date = 2020-02-25, chg = -0.24%, profit = 7.41%, profitValue = 3276.28
date = 2020-02-24, chg = 1.23%, profit = 7.68%, profitValue = 3284.23
date = 2020-02-21, chg = 1.05%, profit = 6.37%, profitValue = 3244.30
date = 2020-02-20, chg = 1.87%, profit = 5.27%, profitValue = 3210.71
date = 2020-02-19, chg = -0.50%, profit = 3.33%, profitValue = 3151.62
date = 2020-02-18, chg = 1.74%, profit = 3.85%, profitValue = 3167.43
date = 2020-02-17, chg = 3.38%, profit = 2.07%, profitValue = 3113.26
date = 2020-02-14, chg = 0.21%, profit = -1.27%, profitValue = 3011.34
date = 2020-02-13, chg = -0.98%, profit = -1.48%, profitValue = 3005.00
date = 2020-02-12, chg = 1.61%, profit = -0.50%, profitValue = 3034.81
date = 2020-02-11, chg = -0.48%, profit = -2.08%, profitValue = 2986.78
date = 2020-02-10, chg = 1.64%, profit = -1.61%, profitValue = 3001.13
date = 2020-02-07, chg = 1.17%, profit = -3.19%, profitValue = 2952.71
date = 2020-02-06, chg = 2.60%, profit = -4.31%, profitValue = 2918.59
date = 2020-02-05, chg = 2.67%, profit = -6.74%, profitValue = 2844.62
date = 2020-02-04, chg = -0.76%, profit = -9.16%, profitValue = 2770.77
date = 2020-02-03, chg = -8.77%, profit = -8.46%, profitValue = 2792.06
date = 2020-01-23, chg = -3.40%, profit = 0.34%, profitValue = 3060.42
date = 2020-01-22, chg = 0.00%, profit = 3.86%, profitValue = 3167.98
date = 2020-01-21, chg = -1.14%, profit = 3.87%, profitValue = 3168.05
date = 2020-01-20, chg = 0.90%, profit = 5.06%, profitValue = 3204.52
date = 2020-01-17, chg = -0.38%, profit = 4.13%, profitValue = 3176.03
date = 2020-01-16, chg = -0.42%, profit = 4.53%, profitValue = 3188.23
date = 2020-01-15, chg = -0.46%, profit = 4.97%, profitValue = 3201.82
date = 2020-01-14, chg = 0.02%, profit = 5.45%, profitValue = 3216.47
date = 2020-01-13, chg = 0.98%, profit = 5.43%, profitValue = 3215.78
date = 2020-01-10, chg = -0.26%, profit = 4.40%, profitValue = 3184.46
date = 2020-01-09, chg = 1.51%, profit = 4.67%, profitValue = 3192.71
date = 2020-01-08, chg = -1.36%, profit = 3.11%, profitValue = 3145.10
date = 2020-01-07, chg = 1.34%, profit = 4.53%, profitValue = 3188.37
date = 2020-01-06, chg = 0.75%, profit = 3.15%, profitValue = 3146.24
date = 2020-01-03, chg = 0.54%, profit = 2.39%, profitValue = 3122.94
date = 2020-01-02, chg = 1.84%, profit = 1.84%, profitValue = 3106.30
synthetical
4天期, avgPlus = 6.51%, avgMinus = -3.64%, avgAll = 1.21%, chance = 47.83%, days = 23
3天期, avgPlus = 4.93%, avgMinus = -3.69%, avgAll = 1.56%, chance = 60.87%, days = 23
2天期, avgPlus = 4.32%, avgMinus = -3.54%, avgAll = 1.24%, chance = 60.87%, days = 23
1天期, avgPlus = 2.63%, avgMinus = -1.29%, avgAll = 0.24%, chance = 39.13%, days = 23
0天期, avgPlus = 5.49%, avgMinus = -3.91%, avgAll = 0.99%, chance = 52.17%, days = 23
4天期, plus: 28.82%, 13.57%, 6.64%, 5.77%, 5.25%, minus: -7.22%, -7.21%, -6.66%, -6.09%, -5.62%
3天期, plus: 25.96%, 12.80%, 10.31%, 4.99%, 3.70%, minus: -9.05%, -6.74%, -5.67%, -5.57%, -2.63%
2天期, plus: 20.81%, 11.11%, 7.33%, 4.59%, 3.76%, minus: -8.70%, -7.35%, -7.24%, -3.55%, -1.65%
1天期, plus: 9.83%, 4.96%, 2.50%, 1.87%, 1.75%, minus: -7.65%, -3.15%, -2.57%, -1.24%, -1.01%
0天期, plus: 28.82%, 9.12%, 6.64%, 5.16%, 4.99%, minus: -8.99%, -8.00%, -7.22%, -5.95%, -4.62%
4天期, mairu, date = 2020-05-08, stock = 300563, price = 29.41, rate = 0
4天期, mairu, date = 2020-05-08, stock = 600783, price = 14.13, rate = 0
4天期, mairu, date = 2020-05-08, stock = 300582, price = 11.78, rate = 0
4天期, mairu, date = 2020-05-08, stock = 600498, price = 34.89, rate = 0
4天期, mairu, date = 2020-05-08, stock = 002056, price = 10.98, rate = 0
4天期, mairu, date = 2020-05-08, stock = 002396, price = 39.25, rate = 0
4天期, mairu, date = 2020-05-08, stock = 300494, price = 14.78, rate = 0
4天期, mairu, date = 2020-05-08, stock = 300730, price = 13.36, rate = 0
