代码		    名称		现价		昨收		开盘		最高		最低		
SH688018	乐鑫科技	192.91		167.00		171.06		198.00		171.06		
SH600122	宏图高科	3.25		2.95		2.94		3.25		2.93		
SZ300375	鹏翎股份	4.80		4.36		4.75		4.80		4.65		
SZ002404	嘉欣丝绸	6.44		5.85		5.81		6.44		5.77		
SZ000909	数源科技	10.29		9.35		9.80		10.29		9.58		
SZ002786	银宝山新	11.95		10.86		11.08		11.95		11.08		
SH603023	威帝股份	6.14		5.58		6.14		6.14		6.14		
SH600641	万业企业	14.48		13.16		13.27		14.48		13.08		
SZ002552	宝鼎科技	13.94		12.67		13.94		13.94		13.94		
SZ300329	海伦钢琴	8.24		7.49		8.00		8.24		8.00		
SZ002961	瑞达期货	25.16		22.87		25.16		25.16		25.16		
SZ002931	锋龙股份	30.99		28.17		28.34		30.99		28.10		
SZ300790	宇瞳光学	31.65		28.77		31.65		31.65		31.65		
SZ300450	先导智能	36.71		33.37		33.56		36.71		33.38		
SZ300613	富瀚微		143.07		130.06		129.97		143.07		128.16		
SZ300579	数字认证	41.80		38.00		38.40		41.80		37.70		
SZ002906	华阳集团	13.75		12.50		12.91		13.75		12.88		
SZ300404	博济医药	22.99		20.90		20.90		22.99		20.81		
SH603912	佳力图		16.06		14.60		14.45		16.06		14.45		
SH600981	汇鸿集团	4.29		3.90		3.95		4.29		3.90		
SH603919	金徽酒		17.27		15.70		15.66		17.27		15.64		
SH603602	纵横通信	27.17		24.70		26.87		27.17		26.13		
SZ300759	康龙化成	46.77		42.52		42.55		46.77		42.30		
SH603927	中科软		60.42		54.93		60.42		60.42		60.42		
SH600378	昊华科技	17.50		15.91		15.91		17.50		15.91		
SZ300436	广生堂		42.05		38.23		39.13		42.05		39.12		
SZ300721	怡达股份	21.80		19.82		19.83		21.80		19.80		
SZ300670	大烨智能	10.35		9.41		9.42		10.35		9.33		
SH603658	安图生物	95.49		86.81		86.43		95.49		86.43		
SZ002962	五方光电	33.37		30.34		33.37		33.37		33.37		
SH600517	置信电气	8.04		7.31		8.04		8.04		8.04		
SZ002472	双环传动	5.73		5.21		5.73		5.73		5.60		
SZ002546	新联电子	4.85		4.41		4.41		4.85		4.38		
SZ000733	振华科技	19.18		17.44		17.43		19.18		17.42		
SZ300282	三盛教育	13.89		12.63		12.59		13.89		12.41		
SZ002111	威海广泰	16.54		15.04		15.83		16.54		15.80		
SZ300386	飞天诚信	15.66		14.24		14.33		15.66		13.90		
SZ300293	蓝英装备	9.93		9.03		9.57		9.93		9.57		
SH603477	振静股份	8.61		7.83		8.61		8.61		8.61		
SZ002316	亚联发展	11.26		10.24		10.53		11.26		10.38		
SH600851	海欣股份	7.40		6.73		7.15		7.40		7.15		
SZ300218	安利股份	9.28		8.44		9.28		9.28		9.15		
SH600800	天津磁卡	6.30		5.73		5.90		6.30		5.89		
SZ300510	金冠股份	7.96		7.24		7.96		7.96		7.40		
SZ002584	西陇科学	5.65		5.14		5.16		5.65		5.15		
SZ002156	通富微电	12.93		11.76		11.98		12.94		11.83		
SH600260	凯乐科技	14.55		13.28		13.35		14.61		13.28		
SZ300566	激智科技	23.86		21.80		21.96		23.98		21.53		
SZ002153	石基信息	43.82		40.18		39.83		44.20		39.30		
SZ300052	中青宝		16.12		14.80		14.78		16.28		14.22		
SZ000700	模塑科技	4.17		3.84		3.98		4.21		3.98		
SH688012	中微公司	82.33		75.98		75.50		83.10		75.23		
SH601138	工业富联	15.38		14.21		14.27		15.50		14.27		
SZ002524	光正集团	8.27		7.69		7.79		8.40		7.54		
SZ300776	帝尔激光	148.89		138.15		137.57		151.47		137.57		
SZ300725	药石科技	77.31		71.83		73.00		78.88		71.85		
SH601100	恒立液压	39.70		36.92		36.91		40.46		36.91		
SZ300277	海联讯		7.75		7.21		7.16		7.93		7.16		
SZ300502	新易盛		41.77		38.90		39.20		42.79		39.07		
SH600376	首开股份	8.76		8.16		8.22		8.88		8.18		
SZ300451	创业慧康	17.24		16.08		16.13		17.36		16.13		
SZ002691	冀凯股份	6.93		6.46		6.47		7.11		6.46		
SZ300202	聚龙股份	9.17		8.55		8.45		9.40		8.35		
SZ000977	浪潮信息	28.51		26.60		26.58		28.65		26.38		
SZ300322	硕贝德		23.92		22.33		22.88		24.19		22.45		
SH603198	迎驾贡酒	23.63		22.08		22.54		23.90		22.28		
SH600613	神奇制药	7.56		7.07		7.13		7.68		7.11		
SZ300569	天能重工	18.87		17.65		17.54		18.88		17.35		
SZ300041	回天新材	10.80		10.11		10.20		11.12		10.20		
SH688019	安集科技	159.12		148.99		149.40		160.77		149.40		
SZ300379	东方通		44.61		41.80		41.10		44.61		40.38		
SH603042	华脉科技	17.60		16.50		16.46		17.96		16.46		
SZ000790	泰合健康	4.68		4.38		4.56		4.82		4.56		
SZ002405	四维图新	19.11		17.94		17.94		19.37		17.90		
SZ300365	恒华科技	15.32		14.38		14.33		15.47		14.33		
SZ000799	酒鬼酒		41.60		39.00		39.08		42.40		38.90		
SZ002537	海联金汇	10.64		9.99		10.08		10.99		9.90		
SZ300174	元力股份	21.69		20.38		20.16		21.74		20.15		
SZ300580	贝斯特		17.40		16.35		16.16		17.99		15.89		
SH603496	恒为科技	23.20		21.82		21.99		23.29		21.98		
SZ300346	南大光电	15.57		14.63		14.60		15.79		14.46		
SZ002679	福建金森	16.99		15.99		15.86		17.09		15.86		
SZ300003	乐普医疗	27.58		25.98		26.00		27.79		26.00		
SH603444	吉比特		291.82		274.77		274.99		295.00		274.98		
SZ300054	鼎龙股份	10.36		9.76		9.78		10.53		9.73		
