up_down_10	up_down_5	up_down_4	up_down_3	highest_1_week	highest_2_week	highest_3_week	highest_4_week	lowest_1_week	chg
0.006700	0.006700	0.008600	0.008600	0.006700	0.006700	0.006700	0.006700	0.008500	0.004800
0.006700	0.015300	0.015300	0.011500	-0.006600	-0.006600	-0.006600	-0.006600	0.025600	0.006700
0.004900	0.008700	0.004900	0.004900	-0.000900	-0.000900	-0.000900	-0.000900	0.023800	-0.006600
0.000100	-0.003700	-0.003700	-0.008500	0.007700	0.007700	0.007700	0.007700	0.030800	-0.008600
0.010700	0.004000	-0.000800	-0.007500	-0.003800	-0.003800	-0.003800	-0.003800	0.064200	0.007700
0.002100	-0.004600	-0.011300	-0.004700	-0.014300	-0.014300	-0.014300	-0.014300	0.060400	-0.003800
-0.010300	-0.025600	-0.019000	-0.010400	-0.004800	-0.004800	-0.004800	-0.001000	0.046100	-0.014300
-0.015100	-0.023800	-0.015200	-0.022900	-0.015600	-0.014900	-0.001100	0.003800	0.044200	-0.004800
-0.034500	-0.030800	-0.038500	-0.034700	-0.013500	0.000700	0.014500	0.019400	0.028600	-0.015600
-0.060200	-0.064200	-0.060400	-0.046100	0.020400	0.030300	0.045100	0.045100	0.002900	-0.025700
-0.052800	-0.048200	-0.033900	-0.029100	0.008200	0.018100	0.032900	0.038900	0.015100	0.012200
-0.066500	-0.040900	-0.036100	-0.020500	0.017200	0.030100	0.039900	0.045900	0.008100	-0.007000
-0.068000	-0.044200	-0.028600	-0.002900	0.029300	0.043100	0.048000	0.054000	-0.014300	-0.008100
-0.045100	-0.014300	0.011400	-0.000800	0.015000	0.028800	0.033700	0.039800	-0.007000	0.014300
-0.043800	0.020400	0.008200	0.015200	0.009900	0.024700	0.024700	0.030800	0.002000	0.009000
-0.042000	0.006200	0.013200	0.021300	0.011900	0.026700	0.032700	0.034800	-0.004000	-0.002000
-0.023700	0.017200	0.025300	0.011000	0.012900	0.022700	0.028700	0.030800	-0.000000	0.004000
-0.014900	0.029300	0.015000	0.006000	0.013800	0.018700	0.024700	0.026800	0.004000	0.004000
-0.003300	0.011000	0.002000	0.004000	0.017800	0.022700	0.028800	0.030800	-0.002000	-0.004000
0.030300	0.009900	0.011900	0.007900	0.014800	0.014800	0.020900	0.025800	0.005900	0.007900
0.012200	0.006000	0.002000	-0.002000	0.020700	0.026700	0.028800	0.032700	-0.010900	-0.005900
0.030100	0.012900	0.008900	0.012900	0.009800	0.015800	0.017900	0.021800	-0.000100	0.010900
0.043100	0.013800	0.017800	0.009900	0.004900	0.010900	0.013000	0.016900	0.004800	0.004900
0.024900	0.013900	0.006000	0.011900	0.008800	0.014900	0.016900	0.020800	0.000900	-0.003900
0.024700	0.014800	0.020700	0.009800	-0.001000	0.006100	0.011000	0.013200	0.009700	0.008800
0.025700	0.019700	0.008800	0.003900	0.007000	0.009100	0.013000	0.014200	0.008700	-0.001000
