up_down_5	up_down_highest_in_3days
0.011500	0.000400
0.011800	0.002700
-0.001900	0.011600
0.000400	0.003500
0.002700	0.005500
0.011600	0.006700
0.003500	0.006800
0.005500	0.003600
0.006700	0.007200
0.006800	0.011500
0.003300	0.016800
0.007200	0.022600
0.011500	0.017900
0.016800	0.012900
0.022600	-0.004900
0.012300	0.001000
0.007700	0.002300
-0.004900	0.011100
0.001000	0.022900
0.002300	0.021200
0.011100	0.016400
0.022900	0.019100
0.013800	0.045600
0.016400	0.033900
0.019100	0.019100
0.045600	0.016000
0.029600	0.021000
0.013400	0.032300
0.016000	0.021700
0.021000	0.021000
0.032300	0.011100
0.021700	-0.006700
0.014300	-0.032100
-0.027700	-0.000100
-0.038900	0.005900
-0.042900	0.016600
-0.005100	0.010900
0.005900	-0.016100
-0.002000	0.004300
-0.014100	0.010700
-0.016100	0.001800
0.004300	-0.011400
-0.000700	0.018400
-0.026800	0.035600
-0.012800	0.019800
0.018400	-0.010200
0.018400	0.007000
0.009600	-0.002000
-0.012200	0.010200
-0.009200	0.024400
-0.013500	0.033200
0.010200	0.012300
0.021500	0.015200
0.033200	0.002400
0.012300	0.001600
0.010100	0.006700
0.002400	-0.011500
-0.018300	0.033600
-0.005500	0.025900
-0.011500	0.028600
0.033600	0.003400
0.025000	0.004300
0.028600	-0.000800
0.002600	0.000000
