up_down_5	best_state	chg	highest_1_week
0.022900	-0.020000	0.003100	0.029500
0.055500	0.030000	0.029500	-0.002000
0.049400	0.030000	-0.003000	0.001000
0.030600	0.030000	0.001000	0.000000
0.030600	0.020000	0.000000	-0.001000
0.026500	-0.030000	-0.001000	-0.013900
-0.016900	-0.030000	-0.013900	0.011400
-0.020900	-0.030000	-0.007000	0.018400
-0.027000	-0.030000	-0.005100	0.023500
-0.034100	-0.020000	-0.007100	0.030600
-0.018700	0.030000	0.014400	0.016200
0.011400	0.030000	0.016200	-0.001000
0.010400	0.030000	-0.008000	0.007000
0.019500	0.030000	0.004000	0.003000
0.028600	0.030000	0.002000	0.001000
0.015200	0.020000	0.001000	-0.003000
-0.004000	-0.030000	-0.003000	-0.001900
-0.002000	-0.030000	-0.006000	0.018100
-0.012000	-0.020000	-0.006000	0.030000
-0.008900	0.030000	0.005100	0.057300
-0.010900	0.030000	-0.001000	0.065000
-0.001900	0.030000	0.006000	0.059000
0.018100	0.030000	0.014000	0.045000
0.030000	0.030000	0.005900	0.041100
0.057300	0.030000	0.032400	0.049200
0.065000	0.020000	0.006700	0.042500
0.051400	-0.030000	-0.007600	0.062800
0.038400	-0.020000	0.001000	0.061800
0.041100	0.030000	0.008600	0.053200
0.049200	0.030000	0.040500	0.012700
0.039800	0.030000	-0.002700	0.015400
0.062800	0.020000	0.015400	-0.009800
0.052000	-0.030000	-0.009800	-0.000900
0.042500	-0.030000	-0.000900	-0.000500
-0.019700	-0.020000	-0.021700	0.026600
-0.014200	0.030000	0.002800	0.045400
-0.021300	0.030000	0.008300	0.037100
-0.006900	0.030000	0.004600	0.032500
-0.000500	0.030000	0.005500	0.027000
0.026600	0.030000	0.005400	0.028800
0.045400	0.020000	0.021600	0.007200
0.030900	-0.030000	-0.006200	0.013400
0.020100	-0.020000	-0.006200	0.019600
0.017300	0.030000	0.002700	0.016900
0.028800	0.020000	0.016900	-0.000000
-0.000700	-0.030000	-0.007900	0.043800
0.009000	-0.030000	0.003500	0.044500
0.012600	-0.030000	-0.002600	0.047100
0.009900	-0.020000	0.000000	0.047100
0.000000	0.030000	0.007000	0.040100
0.043800	0.030000	0.035900	0.004200
0.044500	0.020000	0.004200	-0.011800
0.035300	-0.030000	-0.011800	-0.004300
0.031000	-0.030000	-0.004300	-0.010000
0.006100	-0.020000	-0.017900	0.010500
-0.028900	0.030000	0.000900	0.009600
-0.026100	0.020000	0.007000	0.002600
-0.022100	-0.030000	-0.007800	0.010400
-0.016100	-0.020000	0.001700	0.008700
0.010500	0.030000	0.008700	-0.000900
0.008700	0.020000	-0.000900	-0.006000
-0.004300	-0.030000	-0.006000	-0.001300
-0.021700	-0.030000	-0.025200	0.023900
-0.027000	-0.020000	-0.003600	0.045900
-0.023200	0.030000	0.012500	0.035100
-0.007300	0.030000	0.015000	0.051600
-0.012600	0.030000	-0.011300	0.062900
0.019600	0.030000	0.007000	0.055900
0.045900	0.030000	0.022700	0.033200
0.035100	0.030000	0.001700	0.031500
0.051600	0.020000	0.031500	-0.008200
0.045600	-0.030000	-0.017300	0.009100
0.015900	-0.020000	-0.022700	0.031800
0.025000	0.030000	0.031800	-0.004200
0.014100	0.030000	-0.009200	0.005000
-0.012400	0.020000	0.005000	-0.030100
-0.025200	-0.030000	-0.030100	-0.003300
-0.013700	-0.030000	-0.011200	0.007900
-0.037600	-0.030000	0.007900	-0.003500
-0.031900	-0.030000	-0.003500	-0.006100
-0.043000	-0.030000	-0.006100	-0.002300
-0.033900	-0.020000	-0.021000	0.036200
