always	highest	bid	sell
0.006182	0.039442	-0.000100	0.002200
0.035865	0.064480	-0.000100	0.025100
0.017395	0.051736	-0.025500	0.025100
0.017395	0.051736	-0.025500	0.025100
0.034827	0.051736	-0.025500	0.025100
0.033792	0.051736	-0.025500	0.025100
0.019422	0.051736	-0.025500	0.025100
-0.013558	0.051736	-0.025500	0.025100
-0.014747	0.051736	-0.025500	0.025100
-0.020581	0.047337	-0.030500	0.025100
-0.006477	0.055521	-0.030500	0.025100
0.009618	0.072621	-0.030500	0.025100
0.010739	0.064040	-0.030500	0.025100
0.011645	0.068296	-0.030500	0.025100
0.039054	0.070433	-0.030500	0.025100
0.040093	0.071503	-0.030500	0.028700
0.036973	0.070433	-0.030500	0.025100
0.029721	0.065072	-0.026600	0.025100
-0.028093	0.024141	-0.034100	-0.018600
-0.021176	0.024141	-0.034100	-0.018600
-0.022155	0.024141	-0.034100	-0.018600
-0.016288	0.024141	-0.034100	-0.018600
-0.001517	0.024141	-0.034100	-0.018600
0.018531	0.038341	-0.034100	0.028700
0.071984	0.071984	-0.034100	0.030100
0.079166	0.079166	-0.034100	0.057400
0.070964	0.079166	-0.034100	0.057400
0.056817	0.063847	-0.018700	0.057400
0.048913	0.063861	-0.011900	0.057400
0.093625	0.094846	0.051400	0.057400
0.090673	0.091890	0.051400	0.057400
0.107469	0.108705	0.051400	0.057400
0.095520	0.107597	0.051400	0.057400
0.097828	0.110930	0.051400	0.057400
0.087010	0.123259	0.038500	0.057400
0.090054	0.119091	0.038500	0.057400
0.099101	0.128379	0.038500	0.057400
0.104157	0.133570	0.038500	0.057400
0.110230	0.139805	0.038500	0.057400
0.110561	0.140145	0.038500	0.057400
0.134549	0.164772	0.038500	0.057400
0.127515	0.157550	0.038500	0.057400
0.121646	0.151525	0.038500	0.057400
0.117967	0.147748	0.038500	0.057400
0.079609	0.108186	0.038500	0.049300
0.071080	0.099431	0.038500	0.049300
0.074829	0.103279	0.038500	0.049300
0.064899	0.100411	0.038500	0.049300
0.073054	0.100411	0.038500	0.049300
0.028623	0.059950	0.039800	0.026700
0.065550	0.098002	0.039800	0.026700
0.070026	0.101376	0.039800	0.045500
0.060262	0.101052	0.039800	0.043900
0.039692	0.098248	0.020100	0.043900
0.055009	0.098248	0.020100	0.043900
0.055959	0.092100	0.020100	0.043900
0.063351	0.099744	0.020100	0.043900
0.052110	0.088119	0.020100	0.043900
0.045224	0.080997	0.020100	0.043900
0.038143	0.073674	0.026700	0.043900
0.015279	0.056889	0.020100	0.043900
0.015483	0.050548	0.020100	0.043900
-0.023123	0.017244	0.008700	-0.016000
-0.026640	0.008696	0.006200	0.043900
-0.014473	0.021305	0.006200	0.043900
0.008275	0.036624	0.006200	0.043900
-0.006595	0.038013	0.008700	-0.016000
-0.004005	0.038492	0.008700	-0.016000
0.018604	0.047243	0.006200	0.043900
0.020335	0.047243	0.006200	0.043900
0.016001	0.046996	0.006200	0.045900
-0.005751	0.046996	0.006200	0.045900
0.005527	0.046996	0.006200	0.045900
0.037503	0.073277	0.015900	0.045900
0.027958	0.064499	0.035200	0.019700
0.032169	0.067759	0.015900	0.045900
-0.005858	0.074191	-0.026900	0.045900
-0.019477	0.074191	-0.026900	0.045900
-0.011731	0.074191	-0.026900	0.045900
-0.015190	0.063481	-0.026900	0.045900
-0.021197	0.056994	-0.026900	0.045900
-0.010155	0.034797	-0.026900	0.045900
0.000436	0.045869	-0.026900	0.045900
-0.003065	0.042209	-0.026900	0.045900
0.008541	0.050547	-0.026900	0.045900
-0.000424	0.037680	-0.023200	0.045900
0.006445	0.046943	0.035200	-0.013600
0.036739	0.072487	0.019700	0.045900
0.020255	0.072487	0.019700	0.045900
-0.004086	0.046902	0.035200	0.036300
0.002674	0.048946	0.035200	0.036300
0.008701	0.038592	-0.042900	0.036300
0.031801	0.043438	0.033500	0.038600
0.023237	0.038592	-0.042900	0.036300
-0.008299	0.038592	-0.042900	0.036300
0.003411	0.038592	-0.042900	0.036300
0.036692	0.048384	0.033500	0.038600
0.039283	0.051005	0.033500	0.038600
0.025157	0.038592	-0.042900	0.036300
0.046596	0.060871	-0.033900	0.036300
0.063446	0.075440	0.033500	0.038600
0.093648	0.105983	0.033500	0.038600
0.091700	0.104013	0.033500	0.038600
0.104299	0.116754	0.033500	0.038600
0.099439	0.111839	0.036200	0.051400
0.096910	0.111839	0.036200	0.051400
0.088354	0.111839	0.036200	0.051400
0.037428	0.081870	-0.015000	0.051400
0.050816	0.081870	-0.015000	0.051400
0.053160	0.081870	-0.015000	0.051400
0.049790	0.073018	0.017600	0.051400
0.071625	0.095337	0.017600	0.051400
0.042711	0.088551	-0.015000	0.051400
0.054802	0.092035	-0.015000	0.051400
0.086512	0.122939	-0.015000	0.051400
0.085642	0.122041	-0.015000	0.051400
0.066535	0.102293	-0.015000	0.051400
