up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	highest_3_week	highest_4_week	chg
0.022900	0.026000	0.022900	0.029500	0.029500	0.029500	0.029500	0.003100
0.055500	0.052400	0.032600	-0.002000	-0.002000	-0.002000	-0.002000	0.029500
0.049400	0.029600	0.029600	0.001000	0.001000	0.001000	0.005600	-0.003000
0.030600	0.030600	0.027500	0.000000	0.000000	0.000000	0.010500	0.001000
0.030600	0.027500	-0.002000	-0.001000	-0.001000	-0.001000	0.042900	0.000000
0.026500	-0.003000	0.000000	-0.013900	-0.002500	-0.002500	0.050600	-0.001000
-0.016900	-0.013900	-0.014900	0.011400	0.011400	0.011400	0.064500	-0.013900
-0.020900	-0.021900	-0.021900	0.018400	0.018400	0.026500	0.071500	-0.007000
-0.027000	-0.027000	-0.026000	0.023500	0.023500	0.037500	0.078600	-0.005100
-0.034100	-0.033100	-0.019200	0.030600	0.030600	0.077000	0.126200	-0.007100
-0.018700	-0.004800	0.002200	0.016200	0.016200	0.069300	0.111800	0.014400
0.011400	0.018400	0.023500	-0.001000	-0.001000	0.053100	0.108300	0.016200
0.010400	0.015500	0.022600	0.007000	0.016100	0.061100	0.116300	-0.008000
0.019500	0.026600	0.012200	0.003000	0.018000	0.059100	0.112300	0.004000
0.028600	0.014200	-0.002000	0.001000	0.048400	0.097600	0.110300	0.002000
0.015200	-0.001000	0.007000	-0.003000	0.054100	0.096600	0.109300	0.001000
-0.004000	0.004000	0.000000	-0.001900	0.057100	0.112300	0.112300	-0.003000
-0.002000	-0.006000	-0.008000	0.018100	0.063100	0.118300	0.118300	-0.006000
-0.012000	-0.014000	-0.015000	0.030000	0.071100	0.124300	0.124300	-0.006000
-0.008900	-0.009900	-0.006900	0.057300	0.106500	0.119200	0.119200	0.005100
-0.010900	-0.007900	-0.001900	0.065000	0.107500	0.120200	0.136000	-0.001000
-0.001900	0.004100	0.010100	0.059000	0.114200	0.114200	0.130000	0.006000
0.018100	0.024100	0.019000	0.045000	0.100200	0.100200	0.116000	0.014000
0.030000	0.024900	0.025900	0.041100	0.094300	0.094300	0.110100	0.005900
0.057300	0.058300	0.052300	0.049200	0.061900	0.061900	0.084900	0.032400
0.065000	0.059000	0.045000	0.042500	0.055200	0.071000	0.078200	0.006700
0.051400	0.037400	0.031500	0.062800	0.062800	0.078600	0.085800	-0.007600
0.038400	0.032500	0.000100	0.061800	0.061800	0.077600	0.084800	0.001000
0.041100	0.008700	0.002000	0.053200	0.053200	0.069000	0.076200	0.008600
0.049200	0.042500	0.050100	0.012700	0.012700	0.035700	0.035700	0.040500
0.039800	0.047400	0.046400	0.015400	0.031200	0.038400	0.074300	-0.002700
0.062800	0.061800	0.053200	-0.009800	0.015800	0.023000	0.063100	0.015400
0.052000	0.043400	0.002900	-0.000900	0.025600	0.032800	0.072900	-0.009800
0.042500	0.002000	0.004700	-0.000500	0.026500	0.033700	0.073800	-0.000900
-0.019700	-0.017000	-0.032400	0.026600	0.055400	0.055400	0.095500	-0.021700
-0.014200	-0.029600	-0.019800	0.045400	0.052600	0.088500	0.092700	0.002800
-0.021300	-0.011500	-0.010600	0.037100	0.044300	0.084400	0.084400	0.008300
-0.006900	-0.006000	0.015700	0.032500	0.039700	0.079800	0.079800	0.004600
-0.000500	0.021200	0.018400	0.027000	0.034200	0.074300	0.074300	0.005500
0.026600	0.023800	0.015500	0.028800	0.028800	0.068900	0.068900	0.005400
0.045400	0.037100	0.032500	0.007200	0.043100	0.047300	0.047300	0.021600
0.030900	0.026300	0.020800	0.013400	0.053500	0.053500	0.053500	-0.006200
0.020100	0.014600	0.009200	0.019600	0.059700	0.059700	0.059700	-0.006200
0.017300	0.011900	-0.009700	0.016900	0.057000	0.057000	0.057000	0.002700
0.028800	0.007200	0.013400	-0.000000	0.040100	0.040100	0.040100	0.016900
-0.000700	0.005500	0.011700	0.043800	0.048000	0.048000	0.048000	-0.007900
0.009000	0.015200	0.012500	0.044500	0.044500	0.044500	0.044500	0.003500
0.012600	0.009900	-0.007000	0.047100	0.047100	0.047100	0.047100	-0.002600
0.009900	-0.007000	0.000900	0.047100	0.047100	0.047100	0.047100	0.000000
0.000000	0.007900	0.004400	0.040100	0.040100	0.040100	0.040100	0.007000
0.043800	0.040300	0.042900	0.004200	0.004200	0.004200	0.024100	0.035900
0.044500	0.047100	0.047100	-0.011800	-0.011800	-0.011800	0.019900	0.004200
0.035300	0.035300	0.028300	-0.004300	-0.004300	-0.004300	0.031700	-0.011800
0.031000	0.024000	-0.011900	-0.010000	-0.007400	0.002800	0.036000	-0.004300
0.006100	-0.029800	-0.034000	0.010500	0.010500	0.022400	0.053900	-0.017900
-0.028900	-0.033100	-0.021300	0.009600	0.009600	0.053000	0.053000	0.000900
-0.026100	-0.014300	-0.010000	0.002600	0.002600	0.046000	0.046000	0.007000
-0.022100	-0.017800	0.000100	0.010400	0.010400	0.053800	0.053800	-0.007800
-0.016100	0.001800	0.000900	0.008700	0.018900	0.052100	0.052100	0.001700
0.010500	0.009600	0.002600	-0.000900	0.011900	0.043400	0.043400	0.008700
0.008700	0.001700	0.009500	-0.006000	0.044300	0.044300	0.044300	-0.000900
-0.004300	0.003500	0.001800	-0.001300	0.050300	0.050300	0.050300	-0.006000
-0.021700	-0.023400	-0.032100	0.023900	0.075500	0.075500	0.075500	-0.025200
-0.027000	-0.035700	-0.034800	0.045900	0.079100	0.079100	0.079100	-0.003600
-0.023200	-0.022300	-0.016300	0.035100	0.066600	0.066600	0.066600	0.012500
-0.007300	-0.001300	0.023900	0.051600	0.051600	0.051600	0.051600	0.015000
-0.012600	0.012600	0.016200	0.062900	0.062900	0.062900	0.062900	-0.011300
0.019600	0.023200	0.010700	0.055900	0.055900	0.055900	0.055900	0.007000
0.045900	0.033400	0.018400	0.033200	0.033200	0.033200	0.033200	0.022700
0.035100	0.020100	0.031400	0.031500	0.031500	0.031500	0.031500	0.001700
0.051600	0.062900	0.055900	-0.008200	-0.008200	-0.008200	-0.008200	0.031500
0.045600	0.038600	0.015900	0.009100	0.009100	0.009100	0.009100	-0.017300
0.015900	-0.006800	-0.008500	0.031800	0.031800	0.031800	0.040300	-0.022700
0.025000	0.023300	-0.008200	-0.004200	-0.004200	-0.001900	0.008500	0.031800
0.014100	-0.017400	-0.000100	0.005000	0.005000	0.007300	0.017700	-0.009200
-0.012400	0.004900	0.027600	-0.030100	-0.030100	0.002300	0.012700	0.005000
-0.025200	-0.002500	-0.034300	-0.003300	0.002300	0.032400	0.042800	-0.030100
-0.013700	-0.045500	-0.036300	0.007900	0.043600	0.054000	0.054000	-0.011200
-0.037600	-0.028400	-0.033400	-0.003500	0.035700	0.046100	0.046100	0.007900
-0.031900	-0.036900	-0.006800	-0.006100	0.039200	0.049600	0.049600	-0.003500
-0.043000	-0.012900	-0.001700	-0.002300	0.045300	0.055700	0.055700	-0.006100
-0.033900	-0.022700	-0.030600	0.036200	0.066300	0.076700	0.097800	-0.021000
-0.012000	-0.019900	-0.016400	0.055600	0.066000	0.066000	0.096000	0.010700
-0.023400	-0.019900	-0.013800	0.059100	0.069500	0.069500	0.107500	-0.003500
-0.011900	-0.005800	0.015200	0.051100	0.061500	0.061500	0.124200	0.008000
-0.002300	0.018700	0.008000	0.047600	0.058000	0.058000	0.120700	0.003500
0.036200	0.025500	0.029000	0.030100	0.040500	0.061600	0.103200	0.017500
0.055600	0.059100	0.051100	0.010400	0.010400	0.040400	0.073100	0.030100
0.043200	0.035200	0.031700	0.026300	0.026300	0.064300	0.089000	-0.015900
0.033500	0.030000	0.012500	0.028000	0.028000	0.090700	0.090700	-0.001700
0.038500	0.021000	-0.009100	0.019500	0.019500	0.082200	0.082200	0.008500
0.017600	-0.012500	0.003400	0.022900	0.044000	0.085600	0.085600	-0.003400
0.010400	0.026300	0.028000	-0.005800	0.030000	0.062700	0.062700	0.022900
0.018000	0.019700	0.011200	0.002500	0.046300	0.071000	0.071000	-0.008300
0.019700	0.011200	0.014600	0.002500	0.071000	0.071000	0.089600	0.000000
0.013700	0.017100	-0.005800	-0.001500	0.068500	0.068500	0.087100	0.002500
0.012900	-0.010000	-0.001700	0.031100	0.072700	0.072700	0.091300	-0.004200
-0.007500	0.000800	0.000800	0.037500	0.070200	0.070200	0.088800	0.002500
-0.005000	-0.005000	-0.007500	0.051300	0.076000	0.076000	0.094600	-0.005800
-0.015100	-0.017600	-0.013400	0.086100	0.086100	0.104700	0.104700	-0.010100
-0.001500	0.002700	0.000200	0.070000	0.070000	0.088600	0.088600	0.016100
0.031100	0.028600	0.034400	0.041600	0.041600	0.060200	0.060200	0.028400
0.037500	0.043300	0.053400	0.032700	0.032700	0.051300	0.051300	0.008900
0.051300	0.061400	0.045300	0.024700	0.024700	0.043300	0.043300	0.008000
0.086100	0.070000	0.041600	-0.002300	0.018600	0.018600	0.018600	0.024700
0.067700	0.039300	0.030400	-0.007800	0.020900	0.020900	0.020900	-0.002300
0.031500	0.022600	0.014600	0.001900	0.028700	0.028700	0.028700	-0.007800
0.004500	-0.003500	-0.028200	0.020000	0.046800	0.046800	0.046800	-0.018100
-0.006700	-0.031400	-0.029100	0.023200	0.050000	0.050000	0.050000	-0.003200
-0.025800	-0.023500	-0.015700	0.044400	0.044400	0.044400	0.044400	0.005600
-0.026700	-0.018900	-0.000800	0.047600	0.047600	0.047600	0.047600	-0.003200
