up_down_5	up_down_highest_in_week
-0.005600	0.024500
0.002000	0.021600
0.030200	0.006900
0.027700	0.004600
0.019800	-0.007900
0.010100	0.006500
0.001400	0.012300
-0.001000	0.008800
-0.009100	0.025000
-0.011900	0.027200
-0.018500	0.048200
-0.009100	0.044600
0.008800	0.014400
0.025000	0.004000
0.027200	-0.001100
0.047100	-0.006100
0.035000	0.002400
-0.004900	0.012100
-0.013600	0.010400
-0.009500	0.002300
-0.006100	-0.007400
-0.005000	-0.006300
-0.001600	-0.005000
-0.017200	0.008900
-0.035300	0.018900
-0.023400	0.021200
-0.015400	0.027500
-0.005000	0.024000
0.007700	0.025200
0.011300	0.031600
0.021200	0.007500
0.027500	0.000600
0.024000	-0.004000
0.021200	-0.004000
0.022500	0.001100
-0.000500	0.008700
-0.012000	0.015000
-0.013200	0.027000
-0.012100	0.029900
-0.007000	0.031500
0.008700	0.025900
0.015000	0.024200
0.027000	0.012800
0.029300	0.013400
0.031500	0.011200
0.025900	0.008400
0.020900	0.015500
0.007800	0.021600
0.006200	0.023800
0.005700	0.022100
0.008400	0.018600
0.015500	0.014800
0.021600	0.010900
0.020500	0.014200
0.019900	0.013100
0.018600	0.000500
0.011000	0.004300
0.010900	-0.001400
0.008300	0.009400
0.010500	0.013100
-0.011300	0.031400
-0.010200	0.034100
-0.001400	0.027900
0.009400	0.023500
0.013100	0.033300
0.031400	0.024200
0.032500	0.025800
0.027900	0.028700
0.023500	0.028200
0.033300	0.011400
0.020100	0.022800
0.024300	0.026300
0.028700	0.025500
0.024600	0.029600
-0.000400	0.037800
0.022800	0.019700
0.026300	0.021600
0.025500	0.009500
0.029600	0.009000
0.036800	0.010000
0.019700	0.016400
0.021600	0.008400
0.004600	0.013300
-0.002300	0.028600
-0.011300	0.063300
0.016400	0.052100
0.006900	0.053600
0.007900	0.057500
0.028600	0.043200
0.063300	0.018500
0.052100	-0.016200
0.035000	0.011400
0.030400	0.019900
0.026100	0.009900
-0.018000	0.029300
-0.016200	0.009000
0.011400	-0.014100
0.005800	-0.045100
-0.049300	-0.003000
-0.032900	-0.008200
-0.075200	0.013800
-0.070400	-0.004500
-0.060800	-0.006800
-0.036400	0.013900
-0.026700	0.007200
0.002500	0.015400
-0.023500	0.027600
-0.025200	0.033800
-0.015900	0.045200
-0.007900	0.030500
0.015400	-0.002400
0.018600	0.006600
0.031400	-0.007500
0.035300	0.013900
0.006400	0.036600
-0.023600	0.036100
-0.006400	0.027900
-0.013500	0.028400
0.013900	0.008500
0.036600	0.000000
