up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.013200	0.013200	0.014000	0.009200	0.019100	0.008700
0.016700	0.017500	0.015500	0.005700	0.021600	0.003500
0.019000	0.017000	0.013700	0.010200	0.023100	0.001500
0.021200	0.017900	0.009200	0.006000	0.018900	0.004200
0.017400	0.008700	0.005200	0.006500	0.019400	-0.000500
0.005400	0.001900	0.000400	0.013700	0.022700	-0.003300
0.002500	0.001000	-0.003200	0.019100	0.022100	0.000600
0.010200	0.006000	0.006500	0.012900	0.012900	0.009200
0.004000	0.004500	0.007800	0.014900	0.014900	-0.002000
0.003200	0.006500	0.005900	0.016200	0.016200	-0.001300
0.013700	0.013100	0.003900	0.009000	0.009000	0.007200
0.019100	0.009900	0.011900	0.003000	0.003000	0.006000
0.012900	0.014900	0.016200	-0.004100	-0.004100	0.003000
0.010100	0.011400	0.004200	0.000700	0.000700	-0.004800
0.012100	0.004900	-0.001100	-0.003900	-0.001600	0.000700
0.001000	-0.005000	-0.008000	-0.003800	0.011100	-0.003900
-0.008800	-0.011800	-0.007000	-0.004900	0.014900	-0.003800
-0.022500	-0.017700	-0.018400	0.005800	0.025600	-0.010700
-0.019900	-0.020600	-0.016700	0.011800	0.027800	-0.002200
-0.025700	-0.021800	-0.018000	0.024100	0.034800	-0.005100
-0.016800	-0.013000	-0.002300	0.027900	0.037500	0.005000
-0.004900	0.005800	0.008000	0.019800	0.039300	0.008100
0.004400	0.006600	0.011700	0.021200	0.044400	-0.001400
0.011800	0.016900	0.011900	0.016000	0.039200	0.005200
0.024100	0.019100	0.011000	0.010700	0.032000	0.007200
0.027900	0.019800	0.021200	0.009600	0.023200	0.008800
0.013900	0.015300	0.010100	0.025400	0.029100	-0.005900
0.012900	0.007700	0.000500	0.031500	0.031500	-0.002400
0.013800	0.006600	-0.002200	0.025400	0.025400	0.006100
0.010700	0.001900	0.007800	0.021300	0.021300	0.004100
0.009600	0.015500	0.017900	0.013600	0.013600	0.007700
0.025400	0.027800	0.021700	0.003700	0.003700	0.009900
0.031500	0.025400	0.021300	-0.023500	-0.023500	0.003700
0.001100	-0.003000	-0.010700	0.000800	0.000800	-0.024300
-0.002200	-0.009900	-0.019800	0.000000	0.000000	0.000800
-0.012900	-0.022800	-0.026500	0.003000	0.003000	-0.003000
-0.021300	-0.025000	-0.000700	0.001500	0.001500	0.001500
-0.023500	0.000800	0.000000	-0.005900	-0.005900	0.001500
-0.005100	-0.005900	-0.002900	-0.001100	-0.001100	-0.005900
-0.007000	-0.004000	-0.005500	-0.002200	-0.000400	-0.001100
-0.007500	-0.009000	-0.010500	0.003100	0.003100	-0.003500
-0.007700	-0.009200	-0.003300	0.001800	0.001800	0.001300
-0.013700	-0.007800	-0.006700	0.006300	0.006300	-0.004500
-0.017100	-0.016000	-0.012500	0.015600	0.015600	-0.009300
-0.011900	-0.008400	-0.009700	0.011500	0.011500	0.004100
0.003100	0.001800	0.006300	-0.003900	-0.001700	0.011500
-0.010200	-0.005700	0.003600	0.008100	0.010300	-0.012000
0.002400	0.011700	0.007600	-0.003800	0.002200	0.008100
0.007900	0.003800	-0.007700	0.006000	0.006000	-0.003800
-0.007000	-0.018500	-0.006500	0.016800	0.024500	-0.010800
-0.019800	-0.007800	-0.015900	0.018100	0.035100	-0.001300
0.003200	-0.004900	-0.001100	0.007100	0.027800	0.011000
-0.007700	-0.003900	0.006900	0.009900	0.033100	-0.002800
0.006000	0.016800	0.018100	-0.001000	0.023200	0.009900
0.015200	0.016500	0.005500	0.009300	0.024800	-0.001600
0.011300	0.000300	0.003100	0.023800	0.030000	-0.005200
0.006100	0.008900	-0.001000	0.021700	0.024200	0.005800
0.000900	-0.009000	-0.007400	0.032200	0.032200	-0.008000
-0.001200	0.000400	0.005600	0.024400	0.024400	0.007800
0.009300	0.014500	0.008700	0.015500	0.015500	0.008900
0.023800	0.018000	0.026000	0.006200	0.006200	0.009300
0.021700	0.029700	0.021900	0.002500	0.002500	0.003700
0.032200	0.024400	0.015500	-0.000100	-0.000100	0.002500
0.024300	0.015400	0.006100	0.000000	0.000000	-0.000100
