always	highest	bid	sell
-0.045305	0.006324	-0.026000	-0.083700
-0.039100	0.012581	0.003200	0.058700
-0.027473	0.024833	0.003200	0.058700
-0.064575	0.000000	-0.117000	-0.117000
-0.054808	0.009503	-0.117000	-0.117000
-0.112630	0.009503	-0.117000	-0.117000
-0.106419	0.009934	-0.076600	-0.117000
-0.119644	0.009934	-0.076600	-0.117000
-0.102894	0.026455	-0.076600	-0.117000
-0.122093	0.026455	-0.076600	-0.117000
-0.167044	0.026455	-0.076600	-0.117000
-0.141305	0.026455	-0.076600	-0.117000
-0.158222	0.026455	-0.076600	-0.117000
-0.189222	0.026455	-0.076600	-0.117000
-0.179390	0.026455	-0.076600	-0.117000
-0.146369	0.026455	-0.076600	-0.117000
-0.183417	0.026455	-0.076600	-0.117000
-0.190194	0.026455	-0.076600	-0.117000
-0.217697	0.026455	-0.076600	-0.117000
-0.194898	0.026455	-0.076600	-0.117000
-0.130791	0.026455	-0.076600	-0.117000
-0.111494	0.026455	-0.076600	-0.117000
-0.111494	0.026455	-0.076600	-0.117000
-0.108405	0.057568	-0.038300	-0.117000
-0.125407	0.026491	-0.076600	-0.117000
-0.038231	0.049931	-0.004500	-0.002300
-0.014572	0.049931	-0.004500	-0.002300
-0.010137	0.049931	-0.004500	-0.002300
-0.044896	0.025116	-0.038300	-0.002300
-0.026580	0.025116	-0.038300	-0.002300
0.005700	0.023727	-0.074900	0.029300
0.004795	0.023727	-0.074900	0.029300
0.004795	0.023727	-0.074900	0.029300
-0.011171	0.036997	0.007700	0.029300
0.004484	0.046575	0.007700	0.029300
-0.035950	0.029969	0.022900	-0.086200
-0.016573	0.043850	0.022900	-0.086200
0.024829	0.087796	0.022900	-0.065100
0.006182	0.064171	0.022900	-0.065100
0.004371	0.071126	0.022900	-0.065100
0.018922	0.072791	0.030000	-0.065100
0.018005	0.072791	0.030000	-0.065100
0.007112	0.072791	0.030000	-0.065100
0.003486	0.066609	-0.086200	0.039100
0.001680	0.066609	-0.086200	0.039100
0.014401	0.068494	0.030000	-0.065100
0.014401	0.068494	0.030000	-0.065100
0.004460	0.066609	-0.086200	0.039100
-0.000147	0.066609	-0.086200	0.039100
0.012992	0.081274	0.007700	0.039100
0.012714	0.086186	-0.008900	0.040600
0.012714	0.086186	-0.008900	0.040600
0.013626	0.087164	-0.008900	0.041800
0.012814	0.087164	-0.008900	0.041800
0.018891	0.091827	-0.008900	0.052500
0.120858	0.130710	-0.008900	0.052500
0.104718	0.117277	-0.008900	0.041800
0.127475	0.137384	-0.008900	0.052500
0.110896	0.120660	-0.008900	0.052500
0.059727	0.069041	-0.008900	0.052500
0.065280	0.081666	-0.008900	0.052500
0.077637	0.094213	-0.008900	0.052500
0.062645	0.085965	-0.001400	0.041800
0.067908	0.085965	-0.001400	0.041800
0.073593	0.084658	0.000300	0.041800
0.070050	0.081079	0.000300	0.041800
0.074437	0.085511	0.000300	0.041800
0.083355	0.094521	0.000300	0.041800
0.089591	0.100821	0.000300	0.041800
0.027698	0.044135	0.000300	0.025100
0.031911	0.048416	0.000300	0.025100
0.002089	0.023580	0.000300	-0.007100
-0.000516	0.015470	0.000300	0.025100
0.016460	0.033647	0.000300	0.025100
0.000969	0.030132	0.000300	0.025100
0.010178	0.039610	0.000300	0.025100
0.014421	0.043976	0.000300	0.025100
0.027492	0.045640	0.013200	0.000300
0.014304	0.031230	0.013200	0.000300
0.037845	0.066243	-0.038800	0.026200
0.030477	0.066243	-0.038800	0.026200
0.032125	0.066243	-0.038800	0.026200
-0.012257	0.066243	-0.038800	0.026200
-0.012384	0.066243	-0.038800	0.026200
0.000751	0.070619	-0.007800	0.026200
0.014762	0.085607	-0.007800	0.026200
0.016493	0.083870	-0.007800	0.026200
0.002522	0.073357	-0.007800	0.026200
0.019787	0.088276	-0.007800	0.026200
0.009079	0.088276	-0.007800	0.026200
-0.011506	0.088276	-0.007800	0.026200
-0.016330	0.080346	-0.007800	0.026200
0.022263	0.090285	-0.007800	0.026200
0.022059	0.090068	-0.007800	0.026200
0.009488	0.076660	-0.007800	0.026200
0.002018	0.068693	-0.007800	0.026200
-0.000464	0.066045	-0.007700	0.026200
-0.005441	0.030474	0.025300	0.026200
-0.050416	0.019388	-0.007800	0.007800
-0.018795	0.053334	-0.007800	0.007800
-0.016440	0.055862	-0.007800	0.028600
-0.011719	0.055862	-0.007800	0.028600
0.016847	0.057453	-0.007800	0.038400
0.061577	0.061577	-0.007800	0.058900
0.064868	0.061577	-0.007800	0.058900
0.053261	0.061577	-0.007800	0.058900
-0.005550	0.063272	-0.028300	0.058900
0.012947	0.076017	-0.009800	0.058900
0.036245	0.100765	-0.009800	0.058900
0.041586	0.094821	-0.009800	0.058900
0.081458	0.113543	-0.009800	0.058900
0.056131	0.087464	-0.009800	0.058900
0.044725	0.083240	-0.009800	0.038400
0.053605	0.085354	0.020100	0.038400
0.060112	0.096729	-0.009800	0.038400
0.058937	0.104906	0.000300	0.038400
0.083468	0.123161	-0.009800	0.038400
0.082601	0.122263	-0.009800	0.038400
0.082601	0.122263	-0.009800	0.038400
0.051694	0.070523	-0.009800	0.018900
0.049175	0.070523	-0.009800	0.018900
0.032064	0.081066	-0.009800	0.028900
0.037431	0.086687	-0.009800	0.028900
0.061395	0.111790	-0.009800	0.028900
0.051978	0.111790	-0.009800	0.028900
0.061976	0.111790	-0.009800	0.028900
0.108058	0.119907	-0.009800	0.045800
0.143295	0.155520	-0.009800	0.045800
0.132090	0.155520	-0.009800	0.045800
0.109084	0.134420	-0.012800	0.045800
0.094123	0.114936	-0.002200	0.045800
0.082654	0.107563	-0.020800	0.045800
0.064357	0.107563	-0.020800	0.045800
0.062016	0.097951	-0.020800	0.045800
0.080589	0.105088	-0.020800	0.045800
0.051552	0.084533	-0.020800	0.045800
0.041071	0.057996	0.008800	0.045800
0.070637	0.088043	0.008800	0.045800
0.050188	0.067262	0.008800	0.045800
0.068476	0.085847	0.010300	0.045800
0.066980	0.084327	0.010300	0.045800
0.029177	0.045909	0.016800	0.045800
0.028456	0.045177	0.016800	0.045800
0.031439	0.048208	0.016800	0.045800
0.025385	0.042799	0.022700	-0.014700
-0.002878	0.022438	-0.033900	-0.030400
-0.002187	0.022885	-0.002000	-0.014700
0.010785	0.034431	0.043800	0.008100
0.004316	0.034431	0.043800	0.008100
-0.027319	0.034216	-0.023000	0.004400
-0.012780	0.034216	-0.023000	0.004400
0.003380	0.048937	-0.023000	0.019000
0.003380	0.048937	-0.023000	0.019000
0.006892	0.048937	-0.023000	0.019000
0.014983	0.048937	-0.023000	0.019000
0.012236	0.048937	-0.023000	0.019000
0.021176	0.048203	-0.023000	0.019000
0.020461	0.048203	-0.023000	0.019000
0.013930	0.048203	-0.023000	0.019000
-0.021761	0.017036	-0.002000	0.019000
-0.004907	0.014799	-0.002000	0.019000
-0.007100	0.007473	-0.023000	0.019000
-0.006405	0.008178	-0.023000	0.019000
-0.003523	0.011102	-0.023000	0.019000
-0.007911	0.005945	-0.023000	0.019000
-0.016517	0.003033	-0.022100	0.019000
-0.015101	-0.008432	0.004400	0.019000
-0.006533	0.000195	0.004400	0.019000
-0.012295	-0.005606	0.004400	0.019000
-0.027115	-0.014218	0.008800	0.019000
-0.027996	-0.014242	-0.023800	-0.023800
-0.072549	0.000000	-0.028500	-0.028500
-0.069117	0.000000	-0.033500	-0.033500
-0.078798	0.000000	-0.038100	-0.038100
-0.055297	0.005430	-0.038100	-0.038100
-0.056714	0.005430	-0.038100	-0.038100
-0.056054	0.005430	-0.038100	-0.038100
-0.047647	0.012862	-0.038100	0.004600
-0.043621	0.012862	-0.038100	0.004600
-0.042043	0.012862	-0.038100	0.004600
-0.035528	0.012862	-0.038100	0.004600
-0.034853	0.012862	-0.038100	0.004600
-0.031188	0.012862	-0.038100	0.004600
-0.021818	0.012862	-0.038100	0.004600
0.023129	0.031024	-0.008800	0.010600
0.023129	0.031024	-0.008800	0.010600
0.021594	0.031024	-0.008800	0.010600
0.013350	0.030070	-0.038100	0.017300
0.023283	0.038018	-0.008800	0.010600
0.004475	0.025710	-0.008800	0.010600
0.016328	0.031075	-0.008800	0.010600
0.012669	0.027363	-0.008800	0.010600
0.014191	0.028907	-0.008800	0.010600
0.012772	0.028032	-0.008800	0.010600
0.026355	0.033275	-0.008800	0.010600
0.042059	0.049084	-0.008800	0.012700
0.047269	0.054329	-0.008800	0.016200
0.038011	0.047208	-0.000500	0.016200
0.035833	0.046476	-0.000500	0.016200
0.013112	0.026607	-0.013200	0.024800
0.021014	0.034615	-0.013200	0.024800
0.012335	0.026515	-0.013200	0.016200
0.013753	0.027257	-0.013200	0.024800
0.005845	0.026515	-0.013200	0.016200
0.004437	0.026515	-0.013200	0.016200
0.014582	0.030150	-0.008500	0.016200
0.008089	0.026515	-0.013200	0.016200
0.017464	0.033077	-0.008500	0.016200
0.014611	0.028634	-0.008500	0.016200
0.019295	0.026515	-0.013200	0.016200
0.026634	0.028685	-0.008500	0.016200
0.023760	0.026515	-0.013200	0.016200
0.014755	0.019026	-0.003500	0.016200
0.015569	0.016173	-0.003500	0.016200
0.012540	0.009496	0.021900	0.020500
0.016185	0.013130	0.021900	0.020500
0.030615	0.027517	0.021900	0.020500
0.028584	0.032213	-0.008500	0.019300
0.029813	0.038612	-0.008500	0.029800
0.037545	0.046506	-0.008500	0.038800
0.058815	0.067959	-0.008500	0.045000
0.043992	0.067959	-0.008500	0.045000
0.050000	0.067959	-0.008500	0.045000
0.040575	0.067959	-0.008500	0.045000
0.026628	0.067959	-0.008500	0.045000
0.036587	0.071317	-0.008500	0.045000
0.038763	0.073567	-0.008500	0.045000
0.038249	0.073036	-0.006200	0.045000
0.049221	0.084375	-0.004100	0.045000
0.023013	0.057288	0.001600	0.045000
0.030890	0.065430	0.001600	0.045000
0.019447	0.053603	0.001600	0.045000
-0.002719	0.030694	-0.001300	0.045000
0.007881	0.041650	0.002300	0.045000
0.004971	0.038642	0.005900	0.045000
0.000047	0.033553	0.005900	0.045000
0.004347	0.037997	0.005900	0.045000
0.001445	0.034998	0.002400	0.045000
-0.025117	0.018995	-0.018300	-0.008800
-0.048301	0.018995	-0.018300	-0.008800
-0.046302	0.018995	-0.018300	-0.008800
-0.050403	0.018995	-0.018300	-0.008800
-0.069479	0.018995	-0.018300	-0.008800
-0.048151	0.018995	-0.018300	-0.008800
-0.060922	0.018995	-0.018300	-0.008800
-0.014711	0.018995	-0.018300	-0.008800
0.005291	0.025986	-0.041100	0.013600
-0.007752	0.025986	-0.041100	0.013600
-0.012604	0.025986	-0.041100	0.013600
0.003247	0.025986	-0.041100	0.013600
0.006056	0.025986	-0.041100	0.013600
-0.005010	0.025986	-0.041100	0.013600
-0.020907	0.025986	-0.041100	0.013600
-0.011997	0.025986	-0.041100	0.013600
-0.004320	0.024493	-0.024300	0.013600
0.005538	0.027918	-0.019300	0.013600
0.015392	0.037992	-0.019300	0.013600
0.021106	0.038718	-0.019300	0.013600
0.024461	0.051846	-0.014000	0.017700
0.032468	0.042297	-0.012000	0.017700
0.033190	0.042297	-0.012000	0.017700
0.035980	0.044379	-0.012000	0.027300
0.035256	0.045841	-0.012000	0.027300
-0.005667	0.021591	-0.019300	0.017700
0.001126	0.021591	-0.019300	0.017700
-0.000976	0.021591	-0.019300	0.017700
0.002420	0.022162	-0.019300	0.027300
0.005119	0.027784	-0.019300	0.027300
0.018331	0.029840	-0.019300	0.027300
0.048068	0.048068	-0.019300	0.027300
0.045972	0.045972	-0.019300	0.027300
0.042520	0.044840	-0.003300	0.017700
0.039939	0.039939	-0.012200	0.027300
0.035305	0.035305	0.008600	0.027300
0.058858	0.061007	-0.003300	0.026700
0.057481	0.061007	-0.003300	0.026700
0.066998	0.069165	-0.003300	0.038000
0.062840	0.069165	-0.003300	0.038000
0.055208	0.069165	-0.003300	0.038000
0.045988	0.069165	-0.003300	0.038000
0.049440	0.065728	-0.003300	0.038000
0.052903	0.069245	-0.003300	0.038000
0.048797	0.065075	-0.003300	0.038000
0.052258	0.068590	-0.003300	0.038000
0.064431	0.083227	-0.002000	0.038000
0.075288	0.094276	-0.002000	0.038000
0.072600	0.091540	-0.002000	0.038000
0.070128	0.086738	-0.002000	0.038000
0.078767	0.095510	-0.001300	0.038000
0.058730	0.080885	0.019900	0.038000
0.057354	0.079479	0.019900	0.038000
0.066024	0.088331	0.019900	0.038000
0.062820	0.082890	0.019900	0.038000
0.060367	0.076825	0.019900	0.038000
0.019882	0.034527	-0.014100	0.029200
0.044767	0.059769	-0.014100	0.029200
0.055006	0.070155	-0.014100	0.029200
0.055112	0.068871	-0.014100	0.029200
0.046328	0.069512	-0.014100	0.030600
0.054004	0.069512	-0.014100	0.030600
0.053372	0.069512	-0.014100	0.030600
0.057269	0.069512	-0.014100	0.030600
0.047363	0.066648	-0.015900	0.030600
0.054253	0.070214	-0.015900	0.030600
0.040027	0.048478	0.020400	0.030600
0.031997	0.047599	0.021000	0.030600
0.032721	0.045714	0.021000	0.030600
0.005416	0.024288	0.002700	0.007000
-0.001420	0.011703	0.002700	0.025100
0.004172	0.017368	0.002700	0.025100
0.016036	0.028051	0.002700	0.025100
-0.000894	0.021425	-0.000500	-0.011900
