            Node  FLVEL.Magnitude    FLVEL.FLVEL1    FLVEL.FLVEL2    FLVEL.FLVEL3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
----------------------------------------------------------------------------------
               1     1.53061E-06     1.53061E-06    -22.4397E-24    -2.71305E-21
               2     1.53061E-06     1.53061E-06     20.2175E-24     75.0193E-24
               3     1.53061E-06     1.53061E-06    -61.2518E-24     210.891E-24
               4     1.53061E-06     1.53061E-06    -2.92658E-24     106.024E-24
               5     1.53061E-06     1.53061E-06    -20.5989E-24     254.911E-24
               6     1.53061E-06     1.53061E-06     108.967E-27     294.170E-24
               7     1.53061E-06     1.53061E-06     20.4899E-24     41.3503E-24
               8     1.53061E-06     1.53061E-06     2.81760E-24     235.547E-24
               9     1.53061E-06     1.53061E-06    -5.25772E-24     52.5850E-24
              10     1.53061E-06     1.53061E-06     6.07109E-24     229.957E-24


